Created model with fresh parameters.
Num params: 344962
Number of params: 344962 (retreival took 1.876255 secs)
F1: 0.426225490196, EM: 0.42, for 100 samples
F1: 0.387760683761, EM: 0.43, for 100 samples
F1: 0.404222222222, EM: 0.42, for 100 samples
F1: 0.414181020734, EM: 0.43, for 100 samples
F1: 0.422892156863, EM: 0.41, for 100 samples
F1: 0.396538163591, EM: 0.41, for 100 samples
F1: 0.377769230769, EM: 0.38, for 100 samples
F1: 0.393248120301, EM: 0.43, for 100 samples
F1: 0.43, EM: 0.43, for 100 samples
F1: 0.428555555556, EM: 0.42, for 100 samples
F1: 0.368166666667, EM: 0.38, for 100 samples
F1: 0.471921356421, EM: 0.44, for 100 samples
F1: 0.333, EM: 0.33, for 100 samples
F1: 0.404113199666, EM: 0.41, for 100 samples
F1: 0.411871794872, EM: 0.41, for 100 samples
F1: 0.391671265723, EM: 0.42, for 100 samples
F1: 0.455371794872, EM: 0.43, for 100 samples
F1: 0.439904435001, EM: 0.41, for 100 samples
F1: 0.357166666667, EM: 0.36, for 100 samples
F1: 0.44432748538, EM: 0.44, for 100 samples
F1: 0.403968253968, EM: 0.4, for 100 samples
F1: 0.419383040936, EM: 0.42, for 100 samples
F1: 0.415371794872, EM: 0.4, for 100 samples
F1: 0.435795488392, EM: 0.46, for 100 samples
F1: 0.4332996633, EM: 0.44, for 100 samples
F1: 0.426692564745, EM: 0.43, for 100 samples
F1: 0.411, EM: 0.4, for 100 samples
F1: 0.392234501348, EM: 0.4, for 100 samples
F1: 0.392058823529, EM: 0.38, for 100 samples
F1: 0.392136758233, EM: 0.39, for 100 samples
F1: 0.417333333333, EM: 0.42, for 100 samples
F1: 0.365977475741, EM: 0.38, for 100 samples
F1: 0.462124183007, EM: 0.44, for 100 samples
F1: 0.446756056809, EM: 0.47, for 100 samples
F1: 0.418467754468, EM: 0.41, for 100 samples
F1: 0.425646777199, EM: 0.44, for 100 samples
F1: 0.447009803922, EM: 0.46, for 100 samples
F1: 0.442756056809, EM: 0.42, for 100 samples
F1: 0.41654040404, EM: 0.42, for 100 samples
F1: 0.445238095238, EM: 0.46, for 100 samples
F1: 0.38846743295, EM: 0.38, for 100 samples
F1: 0.379577671121, EM: 0.38, for 100 samples
F1: 0.431895604396, EM: 0.43, for 100 samples
F1: 0.376789251208, EM: 0.41, for 100 samples
F1: 0.432936507937, EM: 0.42, for 100 samples
F1: 0.414242044505, EM: 0.43, for 100 samples
F1: 0.4155, EM: 0.41, for 100 samples
F1: 0.382813131313, EM: 0.41, for 100 samples
F1: 0.455304855275, EM: 0.43, for 100 samples
F1: 0.383761904762, EM: 0.38, for 100 samples
F1: 0.443205128205, EM: 0.43, for 100 samples
F1: 0.421, EM: 0.45, for 100 samples
F1: 0.369444444444, EM: 0.35, for 100 samples
F1: 0.451603174603, EM: 0.46, for 100 samples
F1: 0.424246031746, EM: 0.42, for 100 samples
F1: 0.414854638825, EM: 0.46, for 100 samples
F1: 0.384555555556, EM: 0.39, for 100 samples
F1: 0.448373737374, EM: 0.48, for 100 samples
F1: 0.393538461538, EM: 0.4, for 100 samples
F1: 0.467036088649, EM: 0.5, for 100 samples
F1: 0.426357142857, EM: 0.44, for 100 samples
F1: 0.409571428571, EM: 0.44, for 100 samples
F1: 0.395617826618, EM: 0.42, for 100 samples
F1: 0.448962148962, EM: 0.47, for 100 samples
F1: 0.420246031746, EM: 0.41, for 100 samples
F1: 0.444631321894, EM: 0.46, for 100 samples
F1: 0.419833333333, EM: 0.42, for 100 samples
F1: 0.445595238095, EM: 0.46, for 100 samples
F1: 0.4075, EM: 0.42, for 100 samples
F1: 0.457428571429, EM: 0.5, for 100 samples
F1: 0.390833333333, EM: 0.37, for 100 samples
F1: 0.385006715507, EM: 0.41, for 100 samples
F1: 0.445164884135, EM: 0.44, for 100 samples
F1: 0.416601010101, EM: 0.43, for 100 samples
F1: 0.400831550802, EM: 0.38, for 100 samples
F1: 0.383603174603, EM: 0.42, for 100 samples
F1: 0.449963203463, EM: 0.46, for 100 samples
F1: 0.413817460317, EM: 0.41, for 100 samples
F1: 0.42197979798, EM: 0.44, for 100 samples
F1: 0.358746031746, EM: 0.38, for 100 samples
F1: 0.436146464646, EM: 0.43, for 100 samples
F1: 0.38126984127, EM: 0.4, for 100 samples
F1: 0.446377005348, EM: 0.46, for 100 samples
F1: 0.39963968254, EM: 0.42, for 100 samples
F1: 0.495998217469, EM: 0.5, for 100 samples
F1: 0.41414957265, EM: 0.43, for 100 samples
F1: 0.444795518207, EM: 0.45, for 100 samples
F1: 0.41100601033, EM: 0.45, for 100 samples
F1: 0.414975490196, EM: 0.41, for 100 samples
F1: 0.374023310023, EM: 0.4, for 100 samples
F1: 0.393811188811, EM: 0.39, for 100 samples
F1: 0.385992063492, EM: 0.39, for 100 samples
F1: 0.375833333333, EM: 0.36, for 100 samples
F1: 0.47633044733, EM: 0.49, for 100 samples
F1: 0.390356321839, EM: 0.41, for 100 samples
F1: 0.445451801773, EM: 0.44, for 100 samples
F1: 0.447538461538, EM: 0.45, for 100 samples
F1: 0.450260683761, EM: 0.45, for 100 samples
F1: 0.443169934641, EM: 0.43, for 100 samples
F1: 0.437238066282, EM: 0.48, for 100 samples
F1: 0.430833333333, EM: 0.43, for 100 samples
F1: 0.464010683761, EM: 0.48, for 100 samples
F1: 0.424038461538, EM: 0.43, for 100 samples
F1: 0.398857142857, EM: 0.42, for 100 samples
F1: 0.460845499816, EM: 0.43, for 100 samples
F1: 0.412707792208, EM: 0.42, for 100 samples
F1: 0.427651515152, EM: 0.43, for 100 samples
F1: 0.443662698413, EM: 0.44, for 100 samples
F1: 0.46154040404, EM: 0.43, for 100 samples
F1: 0.473810966811, EM: 0.44, for 100 samples
F1: 0.461064213564, EM: 0.45, for 100 samples
F1: 0.448799062049, EM: 0.46, for 100 samples
F1: 0.438841991342, EM: 0.41, for 100 samples
F1: 0.437079365079, EM: 0.45, for 100 samples
F1: 0.425508658009, EM: 0.41, for 100 samples
F1: 0.432246253746, EM: 0.46, for 100 samples
F1: 0.434318181818, EM: 0.44, for 100 samples
F1: 0.416984126984, EM: 0.43, for 100 samples
F1: 0.412115800866, EM: 0.4, for 100 samples
F1: 0.438843101343, EM: 0.47, for 100 samples
F1: 0.412234848485, EM: 0.41, for 100 samples
F1: 0.444007936508, EM: 0.44, for 100 samples
F1: 0.425395604396, EM: 0.43, for 100 samples
F1: 0.41723992674, EM: 0.43, for 100 samples
F1: 0.423437229437, EM: 0.4, for 100 samples
F1: 0.44207020757, EM: 0.46, for 100 samples
F1: 0.452175324675, EM: 0.45, for 100 samples
F1: 0.430238095238, EM: 0.46, for 100 samples
F1: 0.479675324675, EM: 0.47, for 100 samples
F1: 0.424380952381, EM: 0.46, for 100 samples
F1: 0.437175324675, EM: 0.43, for 100 samples
F1: 0.405935286935, EM: 0.44, for 100 samples
